minimum_pass_rate,most_selected_config,most_selected_share_all_replicates,most_selected_share_when_defined,no_eligible_configuration_replicates,no_eligible_configuration_share,selection_defined_replicates
0.7,mini_swe_agent_gpt_5_6_sol_high,0.2894,0.3289757872001819,1203,0.1203,8797
0.75,mini_swe_agent_gpt_5_6_sol_max,0.1302,0.43342210386151797,6996,0.6996,3004
