agent_duration_seconds_missing_rows,agent_seconds_per_success,agent_seconds_per_success_pareto_frontier,agent_seconds_per_success_rank,agent_steps_per_success,agent_steps_per_success_pareto_frontier,agent_steps_per_success_rank,attempts,cache_tokens_per_success,cache_tokens_per_success_pareto_frontier,cache_tokens_per_success_rank,config,harness,input_tokens_per_success,input_tokens_per_success_pareto_frontier,input_tokens_per_success_rank,model,n_agent_steps_missing_rows,n_cache_tokens_missing_rows,n_input_tokens_missing_rows,n_output_tokens_missing_rows,output_tokens_per_success,output_tokens_per_success_pareto_frontier,output_tokens_per_success_rank,pass_rate,provider,reasoning_effort,reported_cpsc_pareto_frontier,reported_cpsc_rank,reported_cpsc_usd,successes,total_tokens_per_success,total_tokens_per_success_pareto_frontier,total_tokens_per_success_rank,trial_duration_seconds_missing_rows,trial_seconds_per_success,trial_seconds_per_success_pareto_frontier,trial_seconds_per_success_rank
0,4861.24224253125,False,33.0,373.54910714285717,False,35.0,451,61293614.04464286,False,39.0,mini_swe_agent_claude_sonnet_5_xhigh,mini-swe-agent,61802357.915178575,False,39.0,claude-sonnet-5,0,0,0,0,243013.6830357143,False,36.0,0.49667405764966743,anthropic,xhigh,False,38.0,23.940518649776784,224,123338985.64285715,False,39.0,0,5123.826601910715,False,33.0
0,18709.60922020755,False,41.0,692.5849056603773,False,39.0,451,41190836.320754714,False,36.0,mini_swe_agent_gemini_3_1_pro_preview_high,mini-swe-agent,55923371.283018865,False,38.0,gemini-3-1-pro-preview,0,0,0,0,1671134.566037736,False,40.0,0.11751662971175167,vertex_ai,high,False,41.0,80.68235765283019,53,98785342.16981131,False,38.0,0,19500.377495150944,False,41.0
0,4255.849430739645,False,32.0,229.25443786982248,False,30.0,452,40662730.94674556,False,35.0,mini_swe_agent_gemini_3_5_flash_medium,mini-swe-agent,45751781.59763314,False,37.0,gemini-3-5-flash,0,0,0,0,737582.449704142,False,39.0,0.37389380530973454,vertex_ai,medium,False,36.0,19.636120955325442,169,87152094.99408284,False,37.0,0,4541.10626408284,False,32.0
0,4945.743655640244,False,34.0,335.9207317073171,False,34.0,452,24422920.975609757,False,32.0,mini_swe_agent_glm_5_2_high,mini-swe-agent,24999474.268292684,False,32.0,glm-5-2,0,0,0,0,149505.9024390244,False,29.0,0.36283185840707965,zai,high,False,21.0,7.814960034146341,164,49571901.146341465,False,32.0,0,5252.491979902439,False,34.0
0,6005.805809690356,False,37.0,294.9593908629442,False,33.0,450,28199134.538071066,False,33.0,mini_swe_agent_glm_5_2_max,mini-swe-agent,28796711.152284265,False,33.0,glm-5-2,0,0,0,0,178573.03553299492,False,32.0,0.43777777777777777,zai,max,False,24.0,8.954103596142133,197,57174418.72588833,False,33.0,0,6255.998154167512,False,36.0
0,2643.827514948718,False,25.0,136.1239316239316,False,24.0,452,16638271.452991452,False,27.0,mini_swe_agent_gpt_5_4_xhigh,mini-swe-agent,18193812.756410256,False,29.0,gpt-5-4,0,0,0,0,137935.08974358975,False,27.0,0.5176991150442478,openai,xhigh,False,29.0,10.918422613247865,234,34970019.299145296,False,27.0,0,2847.712677692308,False,25.0
0,3181.1774175360824,False,29.0,96.18556701030928,False,14.0,452,6532829.69072165,False,15.0,mini_swe_agent_gpt_5_5_high,mini-swe-agent,7172637.1408934705,False,16.0,gpt-5-5,0,0,0,0,48398.94501718213,False,10.0,0.6438053097345132,openai,high,False,22.0,7.9223282680412375,291,13753865.776632302,False,15.0,0,3299.267368532646,False,29.0
0,2111.787879795082,False,22.0,103.98360655737704,False,16.0,452,2441283.1475409837,False,5.0,mini_swe_agent_gpt_5_5_low,mini-swe-agent,2877800.950819672,False,6.0,gpt-5-5,0,0,0,0,34984.70491803279,False,4.0,0.26991150442477874,openai,low,False,10.0,4.4466520491803285,122,5354068.803278688,False,5.0,0,2404.8566111639348,False,21.0
0,2387.8105280245904,False,23.0,85.18032786885246,False,11.0,452,4129796.1967213117,False,9.0,mini_swe_agent_gpt_5_5_medium,mini-swe-agent,4517293.655737705,False,10.0,gpt-5-5,0,0,0,0,36355.311475409835,False,6.0,0.5398230088495575,openai,medium,False,14.0,5.0930447377049175,244,8683445.163934426,False,9.0,0,2528.306645754098,False,23.0
0,2694.5841073234324,False,26.0,122.34653465346534,False,19.0,452,11982349.518151816,False,23.0,mini_swe_agent_gpt_5_5_xhigh,mini-swe-agent,12490307.884488449,False,23.0,gpt-5-5,0,0,0,0,69060.11551155115,False,15.0,0.6703539823008849,openai,xhigh,False,28.0,10.779732597359736,303,24541717.518151816,False,23.0,0,2859.3587977953794,False,26.0
