a_cheaper_bootstrap_share,a_cheaper_replicates,a_higher_pass_rate_bootstrap_share,a_higher_pass_rate_replicates,bca_acceleration,bca_bias_correction,bca_defined_jackknife_clusters,bca_log_cpsc_ratio_ci_high,bca_log_cpsc_ratio_ci_low,config_a,config_b,defined_pass_rate_replicates,defined_replicates,log_cpsc_ratio_ci_high,log_cpsc_ratio_ci_low,pass_rate_difference_ci_high,pass_rate_difference_ci_low,point_log_cpsc_ratio,probability_a_cheaper,probability_tied,tied_cpsc_replicates
1.0,10000,1.0,10000,0.021553118093951076,0.043127371865620136,113,-1.446497469762371,-2.165881526437026,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gemini_3_1_pro_preview_high,10000,10000,-1.471080557900106,-2.1970643142969393,0.6429518755226605,0.49339289421005544,-1.796940186128325,1.0,0.0,0
1.0,10000,1.0,10000,0.005812114248116075,0.04814585694552705,113,-0.19015745002576467,-0.5695848329491379,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gemini_3_5_flash_medium,10000,10000,-0.20148018885965488,-0.579611596621049,0.39010987559404803,0.23422573326202814,-0.3837910272510526,1.0,0.0,0
0.0,0,1.0,10000,-0.0006309484424636271,0.024567428181125256,113,0.7158794797283581,0.34559136094197745,mini_swe_agent_claude_fable_5_high,mini_swe_agent_glm_5_2_high,10000,10000,0.7105896746462484,0.34201050469374206,0.400324032154655,0.24759907001113118,0.5375398989342244,0.0,0.0,0
0.0,0,1.0,10000,0.00558262746056044,0.0436291694135674,113,0.5612533084923768,0.24820480360493447,mini_swe_agent_claude_fable_5_high,mini_swe_agent_glm_5_2_max,10000,10000,0.5519973028732306,0.23939837255061225,0.3191121353449048,0.17853955843583888,0.40146781923287334,0.0,0.0,0
0.0078,78,0.9999,9999,0.002647702565427947,0.01905152731704532,113,0.36492100920404863,0.04409515579552675,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_4_xhigh,10000,10000,0.36112058763546084,0.03891198846672555,0.24265348258682873,0.09377976012688546,0.2031282382551245,0.0078,0.0,0
0.0,0,0.8935,8935,0.015960613787102593,0.037859129003882656,113,0.6675210194477523,0.3948144789371756,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_high,10000,10000,0.6587093863397009,0.383016269932216,0.10826989024265209,-0.024255879219927914,0.5238946129395984,0.0,0.0,0
0.0,0,1.0,10000,0.010756013547565222,0.031087197062473492,113,1.3364114738442572,0.8501431934695929,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_low,10000,10000,1.3247538319427827,0.836865246231058,0.49720708661128665,0.33388532724931225,1.1014282842786132,0.0,0.0,0
0.0,0,0.9998,9998,0.010585904264495172,0.03760828766125593,113,1.1293462828260123,0.8080425239377648,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_medium,10000,10000,1.1195081808374359,0.7988541618244891,0.22474420271878814,0.06819464410324037,0.9657039167822222,0.0,0.0,0
0.0004,4,0.6857,6857,0.016736585354273588,0.03911337176618684,113,0.3516991691324611,0.09895719670760181,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_5_xhigh,10000,10000,0.3426799659665774,0.09015695371417555,0.08107753222862599,-0.05204308588114215,0.2159119890683337,0.0004,0.0,0
0.0,0,1.0,10000,0.0035552318000605914,0.027827164763901582,113,2.1840778396662213,1.8728310720855625,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_6_luna_high,10000,10000,2.178162181320804,1.8655238183438234,0.3191384514300967,0.16833677650932774,2.029371269153269,0.0,0.0,0
0.06279561235785448,624,1.0,10000,0.08255310134138868,0.0933424886898486,113,1.9505000936253525,0.03959390027736077,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_6_luna_low,10000,9937,1.7600713132132175,-0.2953629660828435,0.7390404785316289,0.6012112401384734,1.0512705220394656,0.06279561235785448,0.0,0
0.0,0,0.6579,6579,-0.012201514861483647,0.00651727965058399,113,1.2168974086914905,0.9533530890862374,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_6_luna_max,10000,10000,1.2188527029142728,0.9552244235784377,0.08544556261831891,-0.057933865533833645,1.0879558695978575,0.0,0.0,0
0.0,0,1.0,10000,0.027838423649697096,0.06898695897232789,113,2.307529720246723,1.5912455558593432,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_6_luna_medium,10000,10000,2.2650459161171836,1.5415660687199588,0.6440337961550199,0.5004910757660772,1.9427668883482228,0.0,0.0,0
0.0,0,0.9987,9987,0.010044839202876068,0.02807792553819829,113,1.7482581765074465,1.4594289715462414,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_6_luna_xhigh,10000,10000,1.741821504694382,1.4529976938312443,0.194711265997466,0.0400479055056585,1.6000399218802297,0.0,0.0,0
0.0,0,0.4174,4174,0.020464685573166476,0.052161512171881946,113,1.1286649485463645,0.8644655461089689,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_6_sol_high,10000,10000,1.1143388367472786,0.8521872376594514,0.06335660028934452,-0.0782684424899995,0.9842091018887571,0.0,0.0,0
0.0,0,1.0,10000,0.005214352766333406,0.043378269274258495,113,1.89329828825588,1.5746102827466175,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_6_sol_low,10000,10000,1.8827645863057354,1.5653329344850244,0.3102167170798503,0.15729673339909594,1.7312694779508568,0.0,0.0,0
0.0116,116,0.1267,1267,0.007042076129213963,0.023063024512527848,113,0.2796588503316404,0.02662103257724399,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gpt_5_6_sol_max,10000,10000,0.2742264207254678,0.021755390067521148,0.029272791859605095,-0.1098132927236315,0.14767665678676994,0.0116,0.0,0
