a_lower_cpsc_replicates,a_lower_cpsc_share,config_a,config_b,cpsc_ratio_ci_high,cpsc_ratio_ci_low,defined_replicates,pass_rate_difference_ci_high,pass_rate_difference_ci_low,point_cpsc_ratio_a_over_b,point_pass_rate_difference_a_minus_b
10000,1.0,mini_swe_agent_gpt_5_6_sol_high,mini_swe_agent_gpt_5_6_sol_max,0.46994797820932016,0.3992552372030541,10000,0.01314631365142714,-0.07766399436182053,0.433210101801716,-0.03265336289726539
10000,1.0,mini_swe_agent_gpt_5_6_sol_xhigh,mini_swe_agent_gpt_5_6_sol_max,0.6193998332701205,0.537059735324075,10000,0.015780404746670095,-0.055555590051827225,0.5762088452047479,-0.019349593495935014
10000,1.0,mini_swe_agent_gpt_5_6_luna_max,mini_swe_agent_gpt_5_6_sol_max,0.4337802379267228,0.34966618373251535,10000,0.005885484117333629,-0.11434121369424054,0.3905187822877373,-0.05479166666666668
9634,0.9634,mini_swe_agent_gpt_5_6_luna_max,mini_swe_agent_gpt_5_6_sol_high,1.0096121274293561,0.8065262792615866,10000,0.038624276628168405,-0.08381736717981489,0.9014535456665808,-0.02213830376940129
