config,minimum_pass_rate,selection_count,selection_share_all_replicates,selection_share_when_defined
mini_swe_agent_claude_fable_5_high,0.65,24,0.0024,0.002406015037593985
mini_swe_agent_claude_fable_5_xhigh,0.65,19,0.0019,0.0019047619047619048
mini_swe_agent_claude_fable_5_low,0.65,5,0.0005,0.0005012531328320802
mini_swe_agent_gpt_5_6_terra_high,0.65,3,0.0003,0.0003007518796992481
mini_swe_agent_claude_fable_5_max,0.65,1,0.0001,0.00010025062656641604
mini_swe_agent_gpt_5_5_xhigh,0.65,1,0.0001,0.00010025062656641604
mini_swe_agent_gpt_5_6_sol_high,0.7,2762,0.2762,0.31616300366300365
mini_swe_agent_gpt_5_6_luna_max,0.7,2007,0.2007,0.22973901098901098
mini_swe_agent_gpt_5_6_sol_xhigh,0.7,1702,0.1702,0.19482600732600733
mini_swe_agent_gpt_5_6_sol_max,0.7,1125,0.1125,0.12877747252747251
mini_swe_agent_gpt_5_6_terra_max,0.7,407,0.0407,0.04658882783882784
mini_swe_agent_claude_fable_5_xhigh,0.7,255,0.0255,0.02918956043956044
mini_swe_agent_claude_fable_5_high,0.7,202,0.0202,0.023122710622710624
mini_swe_agent_claude_fable_5_medium,0.7,94,0.0094,0.01076007326007326
mini_swe_agent_claude_fable_5_max,0.7,67,0.0067,0.007669413919413919
mini_swe_agent_gpt_5_6_sol_medium,0.7,53,0.0053,0.006066849816849817
mini_swe_agent_gpt_5_5_xhigh,0.7,35,0.0035,0.004006410256410256
mini_swe_agent_gpt_5_6_terra_xhigh,0.7,24,0.0024,0.0027472527472527475
mini_swe_agent_claude_fable_5_low,0.7,2,0.0002,0.00022893772893772894
mini_swe_agent_gpt_5_6_luna_xhigh,0.7,1,0.0001,0.00011446886446886447
mini_swe_agent_gpt_5_6_sol_max,0.75,1223,0.1223,0.3802860696517413
mini_swe_agent_gpt_5_6_sol_xhigh,0.75,853,0.0853,0.2652363184079602
mini_swe_agent_gpt_5_6_sol_high,0.75,471,0.0471,0.146455223880597
mini_swe_agent_claude_fable_5_xhigh,0.75,213,0.0213,0.06623134328358209
mini_swe_agent_gpt_5_6_terra_max,0.75,179,0.0179,0.055659203980099506
mini_swe_agent_gpt_5_6_luna_max,0.75,94,0.0094,0.029228855721393034
mini_swe_agent_claude_fable_5_high,0.75,87,0.0087,0.027052238805970148
mini_swe_agent_claude_fable_5_max,0.75,71,0.0071,0.022077114427860697
mini_swe_agent_gpt_5_5_xhigh,0.75,16,0.0016,0.004975124378109453
mini_swe_agent_claude_fable_5_medium,0.75,8,0.0008,0.0024875621890547263
mini_swe_agent_gpt_5_6_sol_medium,0.75,1,0.0001,0.0003109452736318408
