a_lower_replicates,a_lower_share,config_a,config_b,defined_replicates,point_ratio_a_over_b,ratio_ci_high,ratio_ci_low,resource_metric
318,0.0318,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_low,10000,1.18868398147582,1.3967502347151406,0.9911253568462974,input_tokens_per_success
316,0.0316,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_low,10000,1.1901001975448195,1.3996398756586585,0.9911832782429493,cache_tokens_per_success
247,0.0247,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_low,10000,1.1778905941377835,1.3663204348285733,1.000456952203955,output_tokens_per_success
6608,0.6608,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_low,10000,0.9691789298241786,1.1231679822895602,0.8224915999315344,agent_seconds_per_success
8590,0.859,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_low,10000,0.9222526079744735,1.0680482189504128,0.7836191132977162,trial_seconds_per_success
316,0.0316,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_low,10000,1.1893134298407757,1.3975717667269032,0.991422208657534,total_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_max,10000,0.42076705780095613,0.4655217208100827,0.37817210326151146,agent_steps_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_max,10000,0.24370846818871703,0.2890613155087007,0.20516635543839445,input_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_max,10000,0.24083538724468312,0.28657991394801813,0.20213001972774874,cache_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_max,10000,0.3646956928103826,0.40240922829868464,0.3283332893872782,output_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_max,10000,0.26145202676297963,0.3016402805959608,0.2244034454352565,agent_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_max,10000,0.275344692629683,0.31671185278955966,0.23700056614147796,trial_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_max,10000,0.242767850414795,0.28826874193665786,0.20418654369254294,total_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_medium,10000,0.6355048690427924,0.7189130644171423,0.5542140134438872,agent_steps_per_success
9168,0.9168,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_medium,10000,0.8921235876022138,1.0482394167625098,0.7490806066732135,input_tokens_per_success
9190,0.919,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_medium,10000,0.8896275620068972,1.0471410220949062,0.7457767296821941,cache_tokens_per_success
5997,0.5997,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_medium,10000,0.9837750789854572,1.1044746439166953,0.866874997233779,output_tokens_per_success
9953,0.9953,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_medium,10000,0.856431394715267,0.9629113910173415,0.7535970493898152,agent_seconds_per_success
9985,0.9985,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_medium,10000,0.8431177319814905,0.9460336345746625,0.7429748564311639,trial_seconds_per_success
9171,0.9171,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_medium,10000,0.8913918277042862,1.0482091480321067,0.7480925307641311,total_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_xhigh,10000,0.4917722933878835,0.5500590353621185,0.43400547866247124,agent_steps_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_xhigh,10000,0.38863034919676565,0.4634502142340512,0.3254699137554192,input_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_xhigh,10000,0.3851813815891099,0.46031956984126554,0.3218879792934112,cache_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_xhigh,10000,0.5272968874204464,0.5899388286416242,0.46628640398542465,output_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_xhigh,10000,0.3828364544657009,0.4448738705583659,0.3241857231863241,agent_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_xhigh,10000,0.39384005968591285,0.4555105349749578,0.33484960345505843,trial_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_opus_4_8_xhigh,10000,0.3875356397063626,0.46245500159311337,0.3242601256102953,total_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_4_6_high,10000,0.19174333337082317,0.23252971577335546,0.15346235605420766,agent_steps_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_4_6_high,10000,0.16384634573314474,0.20327184102422774,0.12811603582383393,input_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_4_6_high,10000,0.1616202197892014,0.20072407695014746,0.12627436114573506,cache_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_4_6_high,10000,0.3281946949717113,0.3990138405821385,0.26284358335442837,output_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_4_6_high,10000,0.16465387362583517,0.20476436109879062,0.12838366001240606,agent_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_4_6_high,10000,0.1711883204870939,0.21235752500631436,0.1339374581837212,trial_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_4_6_high,10000,0.16323078404116786,0.2025288621882186,0.127618501439988,total_tokens_per_success
0,,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_high,0,,,,agent_steps_per_success
0,,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_high,0,,,,input_tokens_per_success
0,,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_high,0,,,,cache_tokens_per_success
0,,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_high,0,,,,output_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_high,10000,0.4321299312342624,0.4960279046445538,0.3718871699651132,agent_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_high,10000,0.4337382385857137,0.49656275583066084,0.3739399963083797,trial_seconds_per_success
0,,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_high,0,,,,total_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_low,10000,0.3397596394837733,0.41041463381099236,0.2728641195537875,agent_steps_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_low,10000,0.47405246557730024,0.5878659770293622,0.3715898860851224,input_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_low,10000,0.470954958412423,0.5848501337462475,0.36853315865342795,cache_tokens_per_success
9999,0.9999,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_low,10000,0.7157927111858549,0.862668278283383,0.5769325132727262,output_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_low,10000,0.6428873962682797,0.7775376883583904,0.5156757327846525,agent_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_low,10000,0.5923026152223788,0.71496981100531,0.47618241079549084,trial_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_low,10000,0.47347839971753086,0.5870499416752659,0.3709762719070039,total_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_max,10000,0.17172888155191085,0.1957049465038201,0.1483722493170304,agent_steps_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_max,10000,0.052384267832124985,0.06293655069109977,0.0426626905604191,input_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_max,10000,0.051368751005605846,0.06187836959798256,0.04171400638413924,cache_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_max,10000,0.20999331575014724,0.23886283414279444,0.18217789025353445,output_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_max,10000,0.17357538350107934,0.2012862518299086,0.14730553544414166,agent_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_max,10000,0.1825363605171324,0.2116508429036411,0.15515221004496707,trial_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_max,10000,0.05211209715150904,0.06264208155663899,0.04241016605611537,total_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_medium,10000,0.3164777263460007,0.37070257396654943,0.2643497593833552,agent_steps_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_medium,10000,0.301749178486724,0.36729118199788047,0.24322579808433165,input_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_medium,10000,0.29827718066210407,0.3637367290452073,0.24001768665805653,cache_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_medium,10000,0.5846112280451143,0.6844649444660563,0.48856363796480845,output_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_medium,10000,0.5493197673863103,0.6451326544216156,0.4581983945215549,agent_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_medium,10000,0.5324248451743204,0.6238667155487868,0.44392652634081503,trial_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_medium,10000,0.30089911136461167,0.3664236595920768,0.2424050819739823,total_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_xhigh,10000,0.22919864487803396,0.26030804134410623,0.1988586451786506,agent_steps_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_xhigh,10000,0.11399195907551374,0.13692923587558725,0.09420631178993553,input_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_xhigh,10000,0.11204956127582316,0.13488795181908447,0.09245059752445155,cache_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_xhigh,10000,0.34361516354783195,0.3875050569905497,0.3013925482513262,output_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_xhigh,10000,0.31852819430371904,0.363449875857587,0.2756994978182462,agent_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_xhigh,10000,0.3261305219642778,0.371350929460962,0.2827452465135972,trial_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_claude_sonnet_5_xhigh,10000,0.1134791041975818,0.13641612431579825,0.09376062344959724,total_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gemini_3_1_pro_preview_high,10000,0.12361942695084714,0.17159134060610665,0.08152978323016731,agent_steps_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gemini_3_1_pro_preview_high,10000,0.1259754498451794,0.1774421811694252,0.0819615523408287,input_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gemini_3_1_pro_preview_high,10000,0.16673423450864344,0.2375970819391063,0.10738045034716455,cache_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gemini_3_1_pro_preview_high,10000,0.04996796077210241,0.06970092406525281,0.03330696912800217,output_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gemini_3_1_pro_preview_high,10000,0.0827618949899833,0.1137889289632147,0.05537129312235833,agent_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gemini_3_1_pro_preview_high,10000,0.08569250746818215,0.11773987256102723,0.0574004076272162,trial_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gemini_3_1_pro_preview_high,10000,0.1416849635377091,0.20041402283797516,0.0918770999467917,total_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gemini_3_5_flash_medium,10000,0.37345819757329296,0.4404060094355233,0.3110811398813925,agent_steps_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gemini_3_5_flash_medium,10000,0.15398245944157382,0.19308417640568015,0.1218168436834151,input_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gemini_3_5_flash_medium,10000,0.16889968781748876,0.21289573079019075,0.13306769052864298,cache_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gemini_3_5_flash_medium,10000,0.1132120029078412,0.1346696290375333,0.09355498063974405,output_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gemini_3_5_flash_medium,10000,0.36383869748825426,0.4303634318010093,0.3025213723004565,agent_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gemini_3_5_flash_medium,10000,0.3679799914290466,0.4350467108749998,0.30583686869439236,trial_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_gemini_3_5_flash_medium,10000,0.16059737410030261,0.20166019175090671,0.1269017864732444,total_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_glm_5_2_high,10000,0.2548724775556252,0.3004365727080419,0.21132883617610732,agent_steps_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_glm_5_2_high,10000,0.28180480031824356,0.33838956050853286,0.2279387472922037,input_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_glm_5_2_high,10000,0.28120807374230944,0.3380673184115728,0.22706768117516102,cache_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_glm_5_2_high,10000,0.5585276907360532,0.6571938932224829,0.4655578630190938,output_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_glm_5_2_high,10000,0.31308592223953213,0.368545334179516,0.260417072596508,agent_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_glm_5_2_high,10000,0.31814160793190427,0.3739418649815014,0.26476524194858275,trial_seconds_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_glm_5_2_high,10000,0.28234538679626175,0.33925484027917385,0.22833676398651817,total_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_glm_5_2_max,10000,0.290266903867879,0.33206712537529814,0.25030003551459434,agent_steps_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_glm_5_2_max,10000,0.24464501577911804,0.2934070133737942,0.20067701099527557,input_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_glm_5_2_max,10000,0.24355082789649538,0.29264581731236494,0.19936027954200675,cache_tokens_per_success
10000,1.0,mini_swe_agent_claude_fable_5_high,mini_swe_agent_glm_5_2_max,10000,0.4676136360198071,0.5354137806131706,0.40332894818484066,output_tokens_per_success
