conditional_failed_spend_usd_ci_high,conditional_failed_spend_usd_ci_low,conditional_successful_spend_usd_ci_high,conditional_successful_spend_usd_ci_low,config,defined_cpsc_rank_replicates,defined_cpsc_replicates,pass_rate_ci_high,pass_rate_ci_low,pass_rate_rank_ci_high,pass_rate_rank_ci_low,rank_displacement_ci_high,rank_displacement_ci_low,realized_cpsc_rank_ci_high,realized_cpsc_rank_ci_low,realized_cpsc_usd_ci_high,realized_cpsc_usd_ci_low,realized_reliability_tax_share_ci_high,realized_reliability_tax_share_ci_low,realized_reliability_tax_usd_ci_high,realized_reliability_tax_usd_ci_low
9.822783529721764,7.06918068926825,11.396372168652492,8.081203175907886,mini_swe_agent_claude_fable_5_high,10000,10000,0.7529411764705882,0.6182616933385376,11.0,1.0,30.0,20.0,32.0,30.0,15.751907201310768,11.397625535431674,0.36694904049060256,0.21001193364131943,5.290872637716205,2.6137401097263187
4.842432564132014,3.2612778420707733,4.486660163682915,2.927937248208954,mini_swe_agent_claude_fable_5_low,10000,10000,0.6636155606407322,0.5277777777777778,19.0,10.0,6.0,-2.0,19.0,14.0,7.724135808020108,5.143869088345976,0.5214387622840068,0.33595129206504654,3.7456524877782256,1.8957525791493355
23.292782177631064,18.401485445350108,24.65280460245775,19.659166818134384,mini_swe_agent_claude_fable_5_max,10000,10000,0.7660550458715596,0.6264501160092807,10.0,1.0,38.0,29.0,39.0,39.0,35.434469631710314,27.24802037886422,0.36932888356572896,0.21851352941152552,12.586390561497277,6.264645487643326
7.104614937977253,5.108436048374626,7.62177367374478,4.998619180399813,mini_swe_agent_claude_fable_5_medium,10000,10000,0.7209302325581395,0.5840863375130617,13.0,4.0,21.0,12.0,27.0,22.0,11.242167342257806,7.743281334229027,0.43640295285293806,0.2577741916235614,4.439340027391866,2.2352591504378734
14.54703567263138,11.44459266358138,15.627818395922231,11.879953135881498,mini_swe_agent_claude_fable_5_xhigh,10000,10000,0.7654867256637168,0.6305309734513275,10.0,1.0,34.0,26.0,36.0,34.0,22.202164764505778,16.605580504522514,0.3644911332022306,0.22073763453691608,7.620666478171001,3.913356302857953
4.783996797409572,3.699139510703675,4.952684158331151,3.779224415085817,mini_swe_agent_claude_opus_4_8_high,10000,10000,0.588495575221239,0.4491150442477876,25.0,16.5,5.0,-2.0,25.0,20.0,9.824074532294738,7.040287226943501,0.5604406111204135,0.39062326313481915,5.350277611211989,2.8348514833806826
2.750788689918713,2.085108048708094,2.4414137438607395,1.8420729639232991,mini_swe_agent_claude_opus_4_8_low,10000,10000,0.4799107142857143,0.33849557522123896,32.0,26.0,-12.0,-17.0,16.0,12.0,7.067216747381502,4.53062448913399,0.6939068541880051,0.5444068493574074,4.83402145405176,2.5029369113466147
14.310113979923802,11.908317540020708,14.516784474544094,12.098622352022295,mini_swe_agent_claude_opus_4_8_max,10000,10000,0.6620370370370371,0.5173190252448834,19.0,11.0,26.0,19.0,38.0,36.0,25.93690179407164,19.512231290122006,0.48935212169443665,0.32708042370528195,12.498766795365643,6.511241145036448
3.941153120863055,3.023536833958334,3.889778932396708,2.99707892556102,mini_swe_agent_claude_opus_4_8_medium,10000,10000,0.5553097345132744,0.415929203539823,28.0,19.0,-1.0,-8.0,21.0,16.0,8.495410591592243,5.930439031248611,0.5945870207044659,0.43820543010639723,4.952410955151544,2.6696483946739273
8.88488388456508,7.090616246818961,8.994353750419961,7.166423862998262,mini_swe_agent_claude_opus_4_8_xhigh,10000,10000,0.6138431907046114,0.47427003996682,23.0,14.0,18.0,10.0,33.0,31.0,17.284970714684196,12.660167967207217,0.5341608813729225,0.3752062522893949,9.028336356821168,4.887970764581133
6.262732067527492,4.876148202869465,6.48621397705357,4.689814144142721,mini_swe_agent_claude_sonnet_4_6_high,10000,10000,0.35920177383592017,0.24,38.0,33.0,2.0,-3.0,37.0,33.0,23.56087331606981,14.760959879454411,0.7646687784828426,0.6303900313181133,17.729585667857783,9.474402111651646
8.185096873360177,6.444211547816743,8.80832251696027,6.4423133235961805,mini_swe_agent_claude_sonnet_5_high,10000,10000,0.5486725663716814,0.415929203539823,28.0,19.0,13.0,5.0,34.0,31.0,18.43127246044476,12.946154766945874,0.5903282830004749,0.4300215232160174,10.538795607491117,5.78500287458714
2.6385856016597744,1.9826012744335209,2.2257069037403845,1.657191297102273,mini_swe_agent_claude_sonnet_5_low,10000,10000,0.3672566371681416,0.24439461883408073,37.0,33.0,-13.0,-19.0,23.0,16.0,9.351862237338356,5.623544778120916,0.7918584332557046,0.6652881627979668,7.342863256292471,3.7860211976594726
28.139048700956906,22.1361801310308,30.957276131900947,24.646642252076262,mini_swe_agent_claude_sonnet_5_max,10000,10000,0.604494382022472,0.47126436781609193,24.0,13.0,27.0,16.0,40.0,40.0,56.8530104029138,42.54627617717867,0.5125616731880178,0.3645040240417318,28.476554627872034,16.053670464886014
4.736619647585647,3.5931987077401577,4.604966385222067,3.434030179761289,mini_swe_agent_claude_sonnet_5_medium,10000,10000,0.4642896825396825,0.33185840707964603,33.0,27.0,0.0,-5.0,30.0,24.0,12.68745604684077,8.467500704470524,0.6843414375490617,0.5329582922973088,8.522057102948827,4.611227991302328
12.645485245579698,10.006262026808885,14.441652920997385,10.715529581711593,mini_swe_agent_claude_sonnet_5_xhigh,10000,10000,0.5644444444444444,0.42920353982300885,27.0,18.0,19.0,11.0,38.0,37.0,28.2327791749804,20.372547757218854,0.5587970192136866,0.39958821672290595,15.23987654926014,8.505806928758787
