panel,defined_kendall_tau_b_replicates,defined_spearman_replicates,kendall_tau_b_ci_high,kendall_tau_b_ci_low,spearman_ci_high,spearman_ci_low
all_configurations,10000,10000,-0.03782795090906009,-0.20378283231654953,-0.03780052264808369,-0.27283507441128585
fixed_display_panel,10000,10000,0.358974358974359,0.1282051282051282,0.5,0.21428571428571427
pooled_within_model,10000,10000,-0.5067698259187621,-0.6963249516441006,-0.5645989727380482,-0.7637297510865271
