attempts,conditional_failed_spend_usd,conditional_successful_spend_usd,config,failures,harness,imputed_cost_rows,mean_cost_per_attempt_usd,model,observed_cost_rows,pass_rate,pass_rate_rank,provider,rank_displacement,realized_cpsc_rank,realized_cpsc_usd,realized_reliability_tax_share,realized_reliability_tax_usd,reasoning_effort,stratum,successes,task_coverage_rate,tasks_in_stratum,tasks_with_any_success,total_cost_usd
260,2.629208383561644,2.630202347593583,mini_swe_agent_gpt_5_5_medium,73,mini-swe-agent,0,2.629923273076923,gpt-5-5,260,0.7192307692307692,18.0,openai,-4.0,14.0,3.656577812834225,0.2806929095391231,1.0263754652406418,medium,common,187,0.9076923076923077,65,59,683.7800510000001
260,5.791746717948718,7.002436538461539,mini_swe_agent_gpt_5_5_xhigh,39,mini-swe-agent,0,6.820833065384615,gpt-5-5,260,0.85,8.0,openai,21.0,29.0,8.024509488687784,0.12736890045018565,1.0220729502262444,xhigh,common,221,0.9846153846153847,65,64,1773.4165970000001
260,0.6813982469387755,0.7395369493827161,mini_swe_agent_gpt_5_6_luna_high,98,mini-swe-agent,0,0.7176231307692308,gpt-5-6-luna,260,0.6230769230769231,26.0,openai,-23.0,3.0,1.1517408271604939,0.3578963843749698,0.4122038777777778,high,common,162,0.9384615384615385,65,61,186.58201400000002
260,0.07142348221343874,0.06436651428571429,mini_swe_agent_gpt_5_6_luna_low,253,mini-swe-agent,0,0.07123348692307692,gpt-5-6-luna,260,0.026923076923076925,41.0,openai,-31.0,10.0,2.6458152285714287,0.9756723320696631,2.5814487142857145,low,common,7,0.07692307692307693,65,5,18.5207066
256,2.182869918367347,2.4889804956521737,mini_swe_agent_gpt_5_6_luna_max,49,mini-swe-agent,0,2.43038901796875,gpt-5-6-luna,256,0.80859375,13.0,openai,-1.0,12.0,3.0056984956521737,0.1719127852469058,0.516718,max,common,207,0.9846153846153847,65,64,622.1795886
260,0.21757658873239435,0.1922449234042553,mini_swe_agent_gpt_5_6_luna_medium,213,mini-swe-agent,0,0.21299740307692308,gpt-5-6-luna,260,0.18076923076923077,39.0,openai,-35.0,4.0,1.1782835063829786,0.8368432364852525,0.9860385829787235,medium,common,47,0.4153846153846154,65,27,55.3793248
260,1.2349718066666666,1.411863385,mini_swe_agent_gpt_5_6_luna_xhigh,60,mini-swe-agent,0,1.3710422515384615,gpt-5-6-luna,260,0.7692307692307693,15.0,openai,-8.0,7.0,1.782354927,0.2078663101201728,0.37049154199999995,xhigh,common,200,0.9692307692307692,65,63,356.4709854
260,3.131139741935484,3.235536537117904,mini_swe_agent_gpt_5_6_sol_high,31,mini-swe-agent,0,3.223089226923077,gpt-5-6-sol,260,0.8807692307692307,3.0,openai,12.0,15.0,3.659402615720524,0.11582930962057103,0.4238660786026201,high,common,229,1.0,65,65,838.003199
260,0.989925023255814,1.0506530057471264,mini_swe_agent_gpt_5_6_sol_low,86,mini-swe-agent,0,1.0305660576923077,gpt-5-6-sol,260,0.6692307692307692,22.0,openai,-16.0,6.0,1.5399262931034483,0.3177251336947292,0.48927328735632186,low,common,174,0.9384615384615385,65,61,267.947175
260,6.243634652173913,7.743721286919831,mini_swe_agent_gpt_5_6_sol_max,23,mini-swe-agent,0,7.611021315384615,gpt-5-6-sol,260,0.9115384615384615,1.5,openai,28.5,30.0,8.349643637130802,0.07256864802186747,0.6059223502109704,max,common,237,0.9846153846153847,65,64,1978.865542
260,1.5519463695652174,1.7380385373831775,mini_swe_agent_gpt_5_6_sol_medium,46,mini-swe-agent,0,1.7051145384615385,gpt-5-6-sol,260,0.823076923076923,11.0,openai,-3.0,8.0,2.0716344859813085,0.16103031246851948,0.33359594859813085,medium,common,214,0.9846153846153847,65,64,443.32978
260,3.666482086956522,4.436478400843882,mini_swe_agent_gpt_5_6_sol_xhigh,23,mini-swe-agent,0,4.368363342307692,gpt-5-6-sol,260,0.9115384615384615,1.5,openai,17.5,19.0,4.792297337552743,0.07424809264663969,0.3558189367088607,xhigh,common,237,1.0,65,65,1135.774469
260,1.0764961197183098,1.0787618703703703,mini_swe_agent_gpt_5_6_terra_high,71,mini-swe-agent,0,1.0781431461538462,gpt-5-6-terra,260,0.7269230769230769,17.0,openai,-12.0,5.0,1.4831598835978836,0.27265975684732996,0.4043980132275132,high,common,189,0.9692307692307692,65,63,280.317218
259,0.4212247787878788,0.39565256382978725,mini_swe_agent_gpt_5_6_terra_low,165,mini-swe-agent,0,0.41194374324324323,gpt-5-6-terra,259,0.36293436293436293,38.0,openai,-36.0,2.0,1.135036484042553,0.6514186377334511,0.7393839202127659,low,common,94,0.6307692307692307,65,41,106.6934295
259,4.015125265625,4.412620810572688,mini_swe_agent_gpt_5_6_terra_max,32,mini-swe-agent,0,4.363509391891892,gpt-5-6-terra,259,0.8764478764478765,4.0,openai,16.0,20.0,4.978629658590308,0.11368767850426653,0.5660088480176212,max,common,227,0.9846153846153847,65,64,1130.1489325
259,0.5686015901639344,0.5592949160583942,mini_swe_agent_gpt_5_6_terra_medium,122,mini-swe-agent,0,0.5636787548262548,gpt-5-6-terra,259,0.528957528957529,31.0,openai,-30.0,1.0,1.0656408576642336,0.4751562761169777,0.5063459416058395,medium,common,137,0.8,65,52,145.9927975
260,2.0247890625,1.9981036344339622,mini_swe_agent_gpt_5_6_terra_xhigh,48,mini-swe-agent,0,2.003030175,gpt-5-6-terra,260,0.8153846153846154,12.0,openai,-3.0,9.0,2.456546441037736,0.1866208588387649,0.4584428066037736,xhigh,common,212,0.9538461538461539,65,62,520.7878455
260,2.521213320965517,2.4070521784347827,mini_swe_agent_kimi_k2_7_code_default,145,mini-swe-agent,0,2.4707189694615384,kimi-k2-7-code,260,0.4423076923076923,34.0,openrouter,-12.0,22.0,5.58597332226087,0.5690899258608433,3.178921143826087,,common,115,0.8461538461538461,65,55,642.38693206
